,smiles
157,[CH3:10][O:11][C:12]1([NH:13])[CH2:14][CH2:15]1
158,[OH:1][CH2:2][CH2:3][CH:4][c:5]1[cH:6][n:7][nH:8][cH:9]1
159,[CH3:1][C:2]1=[N:3][O:4][C@@H:5]2[CH:6]=[N:7][O:8][C@H:9]12
160,[CH2:8][C:9]([CH3:10])=[C:11]([O:12][CH2:13][CH3:14])[O:15][CH2:16][CH3:17]
161,[C:10]1#[C:11][CH2:12][CH2:13][CH2:14][CH2:15][CH:16][CH2:17]1
162,[CH3:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH2:14])[C@H:15]([CH3:16])[NH2:17]
163,[CH3:11][C@@:12]12[CH2:13][CH2:14][CH2:15][CH2:16][C@@H:17]1[C:18](=[O:19])[CH2:20]2
164,[CH3:1][CH2:2][CH2:3][NH:4][O:5][CH2:6][CH3:7]
165,[CH3:1][C:2]([CH3:3])[NH:4][C@H:5]([OH:6])[CH:7]([CH3:8])[CH3:9]
166,[CH3:10][CH:11][CH2:12][C:13]#[C:14][CH2:15][CH2:16][OH:17]
167,[CH:1]1=[CH:2][C:3]2=[N:4][CH2:5][N:6]=[C:7][C:8]2=[CH:9]1
168,[CH3:1][CH2:2][O:3][C:4]1[O:5][CH2:6][CH2:7][C@H:8]([CH3:9])[O:10]1
169,[CH3:10][NH:11][CH2:12][CH2:13][n:14]1[cH:15][c:16]([CH3:17])[cH:18][n:19]1
170,[CH3:10][c:11]1[cH:12][cH:13][cH:14][c:15]([C@@H:16]2[CH2:17][O:18]2)[cH:19]1
171,[CH3:1][CH2:2][n:3]1[n:4][cH:5][c:6]([CH2:7][NH2:8])[n:9]1
172,[CH3:11][NH:12][c:13]1[nH:14][cH:15][n:16][c:17](=[O:18])[c:19]1[NH2:20]
173,[CH3:1][O:2][C@H:3]([CH2:4][NH2:5])[c:6]1[n:7][cH:8][cH:9][nH:10]1
174,[CH3:10][N:11]1[C:12](=[O:13])[O:14][C@@H:15]2[CH2:16][NH:17][CH:18][C@H:19]12
175,[CH3:1][CH2:2][C@H:3]([NH:4])[c:5]1[cH:6][cH:7][n:8][cH:9][cH:10]1
176,[O:1][c:2]1[cH:3][cH:4][cH:5][nH:6]1
